"key","date","value"
"Donald Trump","2020-10-01 00:00:00",47.5188
"Donald Trump","2020-10-02 00:00:00",49.0432
"Donald Trump","2020-10-03 00:00:00",52.95170000000001
"Donald Trump","2020-10-04 00:00:00",38.6283
"Donald Trump","2020-10-05 00:00:00",47.829
"Donald Trump","2020-10-06 00:00:00",82.3964
"Donald Trump","2020-10-07 00:00:00",45.7907
"Donald Trump","2020-10-08 00:00:00",54.8109
"Donald Trump","2020-10-09 00:00:00",41.9697
"Donald Trump","2020-10-10 00:00:00",54.2228
"Donald Trump","2020-10-11 00:00:00",71.8233
"Donald Trump","2020-10-12 00:00:00",52.2787
"Donald Trump","2020-10-13 00:00:00",57.0294
"Donald Trump","2020-10-14 00:00:00",49.7864
"Donald Trump","2020-10-15 00:00:00",74.6977
"Donald Trump","2020-10-16 00:00:00",55.5077
"Donald Trump","2020-10-17 00:00:00",75.9732
"Donald Trump","2020-10-18 00:00:00",69.2318
"Donald Trump","2020-10-19 00:00:00",41.9827
"Donald Trump","2020-10-20 00:00:00",47.178
"Donald Trump","2020-10-21 00:00:00",46.1514
"Donald Trump","2020-10-22 00:00:00",58.2458
"Donald Trump","2020-10-23 00:00:00",60.2196
"Donald Trump","2020-10-24 00:00:00",56.7273
"Donald Trump","2020-10-25 00:00:00",53.0686
"Donald Trump","2020-10-26 00:00:00",42.0247
"Donald Trump","2020-10-27 00:00:00",50.9865
"Donald Trump","2020-10-28 00:00:00",63.8713
"Joe Biden","2020-10-01 00:00:00",52.4812
"Joe Biden","2020-10-02 00:00:00",50.9568
"Joe Biden","2020-10-03 00:00:00",47.0483
"Joe Biden","2020-10-04 00:00:00",61.3717
"Joe Biden","2020-10-05 00:00:00",52.171
"Joe Biden","2020-10-06 00:00:00",17.6036
"Joe Biden","2020-10-07 00:00:00",54.2093
"Joe Biden","2020-10-08 00:00:00",45.1891
"Joe Biden","2020-10-09 00:00:00",58.0303
"Joe Biden","2020-10-10 00:00:00",45.7772
"Joe Biden","2020-10-11 00:00:00",28.1767
"Joe Biden","2020-10-12 00:00:00",47.7213
"Joe Biden","2020-10-13 00:00:00",42.9706
"Joe Biden","2020-10-14 00:00:00",50.2136
"Joe Biden","2020-10-15 00:00:00",25.3023
"Joe Biden","2020-10-16 00:00:00",44.4923
"Joe Biden","2020-10-17 00:00:00",24.0268
"Joe Biden","2020-10-18 00:00:00",30.7682
"Joe Biden","2020-10-19 00:00:00",58.017300000000006
"Joe Biden","2020-10-20 00:00:00",52.822
"Joe Biden","2020-10-21 00:00:00",53.8486
"Joe Biden","2020-10-22 00:00:00",41.7542
"Joe Biden","2020-10-23 00:00:00",39.7804
"Joe Biden","2020-10-24 00:00:00",43.2727
"Joe Biden","2020-10-25 00:00:00",46.9314
"Joe Biden","2020-10-26 00:00:00",57.9753
"Joe Biden","2020-10-27 00:00:00",49.0135
"Joe Biden","2020-10-28 00:00:00",36.1287
