"key","date","value"
"Donald Trump","2020-10-01 00:00:00",45.7435
"Donald Trump","2020-10-02 00:00:00",42.4725
"Donald Trump","2020-10-03 00:00:00",49.8853
"Donald Trump","2020-10-04 00:00:00",49.8545
"Donald Trump","2020-10-05 00:00:00",51.8374
"Donald Trump","2020-10-06 00:00:00",49.299
"Donald Trump","2020-10-07 00:00:00",57.3045
"Donald Trump","2020-10-08 00:00:00",53.9037
"Donald Trump","2020-10-09 00:00:00",47.0777
"Donald Trump","2020-10-10 00:00:00",49.7002
"Donald Trump","2020-10-11 00:00:00",56.9811
"Donald Trump","2020-10-12 00:00:00",45.446
"Donald Trump","2020-10-13 00:00:00",55.3664
"Donald Trump","2020-10-14 00:00:00",43.7988
"Donald Trump","2020-10-15 00:00:00",76.5408
"Donald Trump","2020-10-16 00:00:00",49.6732
"Donald Trump","2020-10-17 00:00:00",70.2312
"Donald Trump","2020-10-18 00:00:00",67.3438
"Donald Trump","2020-10-19 00:00:00",51.3169
"Donald Trump","2020-10-20 00:00:00",49.909
"Donald Trump","2020-10-21 00:00:00",49.0275
"Donald Trump","2020-10-22 00:00:00",27.752299999999998
"Donald Trump","2020-10-23 00:00:00",46.6177
"Donald Trump","2020-10-24 00:00:00",49.6958
"Donald Trump","2020-10-25 00:00:00",65.888
"Donald Trump","2020-10-26 00:00:00",64.5153
"Donald Trump","2020-10-27 00:00:00",67.4033
"Donald Trump","2020-10-28 00:00:00",45.4987
"Joe Biden","2020-10-01 00:00:00",54.256499999999996
"Joe Biden","2020-10-02 00:00:00",57.5275
"Joe Biden","2020-10-03 00:00:00",50.1147
"Joe Biden","2020-10-04 00:00:00",50.1455
"Joe Biden","2020-10-05 00:00:00",48.1626
"Joe Biden","2020-10-06 00:00:00",50.701
"Joe Biden","2020-10-07 00:00:00",42.6955
"Joe Biden","2020-10-08 00:00:00",46.0963
"Joe Biden","2020-10-09 00:00:00",52.9223
"Joe Biden","2020-10-10 00:00:00",50.2998
"Joe Biden","2020-10-11 00:00:00",43.0189
"Joe Biden","2020-10-12 00:00:00",54.554
"Joe Biden","2020-10-13 00:00:00",44.6336
"Joe Biden","2020-10-14 00:00:00",56.2012
"Joe Biden","2020-10-15 00:00:00",23.4592
"Joe Biden","2020-10-16 00:00:00",50.3268
"Joe Biden","2020-10-17 00:00:00",29.7688
"Joe Biden","2020-10-18 00:00:00",32.6562
"Joe Biden","2020-10-19 00:00:00",48.6831
"Joe Biden","2020-10-20 00:00:00",50.091
"Joe Biden","2020-10-21 00:00:00",50.9725
"Joe Biden","2020-10-22 00:00:00",72.2477
"Joe Biden","2020-10-23 00:00:00",53.3823
"Joe Biden","2020-10-24 00:00:00",50.3042
"Joe Biden","2020-10-25 00:00:00",34.112
"Joe Biden","2020-10-26 00:00:00",35.4847
"Joe Biden","2020-10-27 00:00:00",32.5967
"Joe Biden","2020-10-28 00:00:00",54.5013
