"key","date","value"
"Donald Trump","2020-10-01 00:00:00",49.2764
"Donald Trump","2020-10-02 00:00:00",32.6359
"Donald Trump","2020-10-03 00:00:00",46.7907
"Donald Trump","2020-10-04 00:00:00",46.8447
"Donald Trump","2020-10-05 00:00:00",44.171299999999995
"Donald Trump","2020-10-06 00:00:00",40.6227
"Donald Trump","2020-10-07 00:00:00",62.2793
"Donald Trump","2020-10-08 00:00:00",46.1886
"Donald Trump","2020-10-09 00:00:00",40.3985
"Donald Trump","2020-10-10 00:00:00",43.4373
"Donald Trump","2020-10-11 00:00:00",56.16660000000001
"Donald Trump","2020-10-12 00:00:00",36.3694
"Donald Trump","2020-10-13 00:00:00",53.5379
"Donald Trump","2020-10-14 00:00:00",34.461
"Donald Trump","2020-10-15 00:00:00",44.1427
"Donald Trump","2020-10-16 00:00:00",43.6126
"Donald Trump","2020-10-17 00:00:00",53.21829999999999
"Donald Trump","2020-10-18 00:00:00",51.3374
"Donald Trump","2020-10-19 00:00:00",34.5156
"Donald Trump","2020-10-20 00:00:00",47.7495
"Donald Trump","2020-10-21 00:00:00",41.7041
"Donald Trump","2020-10-22 00:00:00",41.7722
"Donald Trump","2020-10-23 00:00:00",49.7571
"Donald Trump","2020-10-24 00:00:00",52.0965
"Donald Trump","2020-10-25 00:00:00",48.3213
"Donald Trump","2020-10-26 00:00:00",42.8553
"Donald Trump","2020-10-27 00:00:00",44.3943
"Donald Trump","2020-10-28 00:00:00",41.7374
"Donald Trump","2020-10-29 00:00:00",49.3407
"Joe Biden","2020-10-01 00:00:00",50.7236
"Joe Biden","2020-10-02 00:00:00",67.3641
"Joe Biden","2020-10-03 00:00:00",53.2093
"Joe Biden","2020-10-04 00:00:00",53.15529999999999
"Joe Biden","2020-10-05 00:00:00",55.828700000000005
"Joe Biden","2020-10-06 00:00:00",59.3773
"Joe Biden","2020-10-07 00:00:00",37.7207
"Joe Biden","2020-10-08 00:00:00",53.8114
"Joe Biden","2020-10-09 00:00:00",59.6015
"Joe Biden","2020-10-10 00:00:00",56.5627
"Joe Biden","2020-10-11 00:00:00",43.83339999999999
"Joe Biden","2020-10-12 00:00:00",63.6306
"Joe Biden","2020-10-13 00:00:00",46.4621
"Joe Biden","2020-10-14 00:00:00",65.539
"Joe Biden","2020-10-15 00:00:00",55.8573
"Joe Biden","2020-10-16 00:00:00",56.38739999999999
"Joe Biden","2020-10-17 00:00:00",46.7817
"Joe Biden","2020-10-18 00:00:00",48.6626
"Joe Biden","2020-10-19 00:00:00",65.4844
"Joe Biden","2020-10-20 00:00:00",52.2505
"Joe Biden","2020-10-21 00:00:00",58.2959
"Joe Biden","2020-10-22 00:00:00",58.22780000000001
"Joe Biden","2020-10-23 00:00:00",50.2429
"Joe Biden","2020-10-24 00:00:00",47.9035
"Joe Biden","2020-10-25 00:00:00",51.6787
"Joe Biden","2020-10-26 00:00:00",57.1447
"Joe Biden","2020-10-27 00:00:00",55.6057
"Joe Biden","2020-10-28 00:00:00",58.2626
"Joe Biden","2020-10-29 00:00:00",50.6593
