"key","date","value"
"Donald Trump","2020-10-01 00:00:00",51.9766
"Donald Trump","2020-10-02 00:00:00",51.5009
"Donald Trump","2020-10-03 00:00:00",50.5109
"Donald Trump","2020-10-04 00:00:00",50.4281
"Donald Trump","2020-10-05 00:00:00",35.4533
"Donald Trump","2020-10-06 00:00:00",56.5455
"Donald Trump","2020-10-07 00:00:00",73.6876
"Donald Trump","2020-10-08 00:00:00",52.7714
"Donald Trump","2020-10-09 00:00:00",51.7226
"Donald Trump","2020-10-10 00:00:00",50.2596
"Donald Trump","2020-10-11 00:00:00",44.4691
"Donald Trump","2020-10-12 00:00:00",45.0751
"Donald Trump","2020-10-13 00:00:00",57.0435
"Donald Trump","2020-10-14 00:00:00",51.3792
"Donald Trump","2020-10-15 00:00:00",59.7291
"Donald Trump","2020-10-16 00:00:00",36.6106
"Donald Trump","2020-10-17 00:00:00",45.7406
"Donald Trump","2020-10-18 00:00:00",55.96679999999999
"Donald Trump","2020-10-19 00:00:00",38.9187
"Donald Trump","2020-10-20 00:00:00",44.1315
"Donald Trump","2020-10-21 00:00:00",45.3233
"Donald Trump","2020-10-22 00:00:00",53.9735
"Donald Trump","2020-10-23 00:00:00",63.814899999999994
"Donald Trump","2020-10-24 00:00:00",58.5249
"Donald Trump","2020-10-25 00:00:00",63.6134
"Donald Trump","2020-10-26 00:00:00",50.8214
"Donald Trump","2020-10-27 00:00:00",43.1304
"Donald Trump","2020-10-28 00:00:00",45.4446
"Joe Biden","2020-10-01 00:00:00",48.0234
"Joe Biden","2020-10-02 00:00:00",48.4991
"Joe Biden","2020-10-03 00:00:00",49.4891
"Joe Biden","2020-10-04 00:00:00",49.5719
"Joe Biden","2020-10-05 00:00:00",64.5467
"Joe Biden","2020-10-06 00:00:00",43.4545
"Joe Biden","2020-10-07 00:00:00",26.3124
"Joe Biden","2020-10-08 00:00:00",47.2286
"Joe Biden","2020-10-09 00:00:00",48.2774
"Joe Biden","2020-10-10 00:00:00",49.7404
"Joe Biden","2020-10-11 00:00:00",55.5309
"Joe Biden","2020-10-12 00:00:00",54.9249
"Joe Biden","2020-10-13 00:00:00",42.9565
"Joe Biden","2020-10-14 00:00:00",48.6208
"Joe Biden","2020-10-15 00:00:00",40.2709
"Joe Biden","2020-10-16 00:00:00",63.3894
"Joe Biden","2020-10-17 00:00:00",54.2594
"Joe Biden","2020-10-18 00:00:00",44.0332
"Joe Biden","2020-10-19 00:00:00",61.0813
"Joe Biden","2020-10-20 00:00:00",55.8685
"Joe Biden","2020-10-21 00:00:00",54.6767
"Joe Biden","2020-10-22 00:00:00",46.0265
"Joe Biden","2020-10-23 00:00:00",36.1851
"Joe Biden","2020-10-24 00:00:00",41.4751
"Joe Biden","2020-10-25 00:00:00",36.3866
"Joe Biden","2020-10-26 00:00:00",49.1786
"Joe Biden","2020-10-27 00:00:00",56.8696
"Joe Biden","2020-10-28 00:00:00",54.55539999999999
