"key","date","value"
"Donald Trump","2020-10-01 00:00:00",27.7482
"Donald Trump","2020-10-02 00:00:00",42.8598
"Donald Trump","2020-10-03 00:00:00",47.09669999999999
"Donald Trump","2020-10-04 00:00:00",43.9856
"Donald Trump","2020-10-05 00:00:00",51.0893
"Donald Trump","2020-10-06 00:00:00",87.0792
"Donald Trump","2020-10-07 00:00:00",50.6732
"Donald Trump","2020-10-08 00:00:00",62.5635
"Donald Trump","2020-10-09 00:00:00",72.4408
"Donald Trump","2020-10-10 00:00:00",54.6044
"Donald Trump","2020-10-11 00:00:00",63.3614
"Donald Trump","2020-10-12 00:00:00",55.561
"Donald Trump","2020-10-13 00:00:00",67.8686
"Donald Trump","2020-10-14 00:00:00",50.958
"Donald Trump","2020-10-15 00:00:00",54.7225
"Donald Trump","2020-10-16 00:00:00",50.7053
"Donald Trump","2020-10-17 00:00:00",44.1155
"Donald Trump","2020-10-18 00:00:00",45.06430000000001
"Donald Trump","2020-10-19 00:00:00",51.7833
"Donald Trump","2020-10-20 00:00:00",37.4633
"Donald Trump","2020-10-21 00:00:00",34.1354
"Donald Trump","2020-10-22 00:00:00",53.213
"Donald Trump","2020-10-23 00:00:00",64.0949
"Donald Trump","2020-10-24 00:00:00",70.495
"Donald Trump","2020-10-25 00:00:00",57.6222
"Donald Trump","2020-10-26 00:00:00",64.4078
"Donald Trump","2020-10-27 00:00:00",46.8728
"Donald Trump","2020-10-28 00:00:00",46.4857
"Joe Biden","2020-10-01 00:00:00",72.2518
"Joe Biden","2020-10-02 00:00:00",57.1402
"Joe Biden","2020-10-03 00:00:00",52.90330000000001
"Joe Biden","2020-10-04 00:00:00",56.0144
"Joe Biden","2020-10-05 00:00:00",48.9107
"Joe Biden","2020-10-06 00:00:00",12.9208
"Joe Biden","2020-10-07 00:00:00",49.3268
"Joe Biden","2020-10-08 00:00:00",37.4365
"Joe Biden","2020-10-09 00:00:00",27.5592
"Joe Biden","2020-10-10 00:00:00",45.3956
"Joe Biden","2020-10-11 00:00:00",36.6386
"Joe Biden","2020-10-12 00:00:00",44.439
"Joe Biden","2020-10-13 00:00:00",32.1314
"Joe Biden","2020-10-14 00:00:00",49.042
"Joe Biden","2020-10-15 00:00:00",45.2775
"Joe Biden","2020-10-16 00:00:00",49.2947
"Joe Biden","2020-10-17 00:00:00",55.8845
"Joe Biden","2020-10-18 00:00:00",54.93569999999999
"Joe Biden","2020-10-19 00:00:00",48.2167
"Joe Biden","2020-10-20 00:00:00",62.5367
"Joe Biden","2020-10-21 00:00:00",65.8646
"Joe Biden","2020-10-22 00:00:00",46.787
"Joe Biden","2020-10-23 00:00:00",35.9051
"Joe Biden","2020-10-24 00:00:00",29.505
"Joe Biden","2020-10-25 00:00:00",42.3778
"Joe Biden","2020-10-26 00:00:00",35.5922
"Joe Biden","2020-10-27 00:00:00",53.1272
"Joe Biden","2020-10-28 00:00:00",53.5143
