"key","date","value"
"Donald Trump","2020-10-01 00:00:00",46.688
"Donald Trump","2020-10-02 00:00:00",43.0169
"Donald Trump","2020-10-03 00:00:00",55.08560000000001
"Donald Trump","2020-10-04 00:00:00",46.2434
"Donald Trump","2020-10-05 00:00:00",41.1691
"Donald Trump","2020-10-06 00:00:00",56.329
"Donald Trump","2020-10-07 00:00:00",56.3025
"Donald Trump","2020-10-08 00:00:00",56.3929
"Donald Trump","2020-10-09 00:00:00",58.3919
"Donald Trump","2020-10-10 00:00:00",54.1049
"Donald Trump","2020-10-11 00:00:00",48.7142
"Donald Trump","2020-10-12 00:00:00",46.0712
"Donald Trump","2020-10-13 00:00:00",53.8202
"Donald Trump","2020-10-14 00:00:00",65.3817
"Donald Trump","2020-10-15 00:00:00",59.302200000000006
"Donald Trump","2020-10-16 00:00:00",39.090399999999995
"Donald Trump","2020-10-17 00:00:00",69.7521
"Donald Trump","2020-10-18 00:00:00",47.3762
"Donald Trump","2020-10-19 00:00:00",52.1419
"Donald Trump","2020-10-20 00:00:00",44.7702
"Donald Trump","2020-10-21 00:00:00",48.0151
"Donald Trump","2020-10-22 00:00:00",42.67850000000001
"Donald Trump","2020-10-23 00:00:00",50.283
"Donald Trump","2020-10-24 00:00:00",48.1624
"Donald Trump","2020-10-25 00:00:00",79.2023
"Donald Trump","2020-10-26 00:00:00",38.1776
"Donald Trump","2020-10-27 00:00:00",53.4861
"Donald Trump","2020-10-28 00:00:00",42.9287
"Joe Biden","2020-10-01 00:00:00",53.312
"Joe Biden","2020-10-02 00:00:00",56.9831
"Joe Biden","2020-10-03 00:00:00",44.9144
"Joe Biden","2020-10-04 00:00:00",53.7566
"Joe Biden","2020-10-05 00:00:00",58.8309
"Joe Biden","2020-10-06 00:00:00",43.671
"Joe Biden","2020-10-07 00:00:00",43.6975
"Joe Biden","2020-10-08 00:00:00",43.6071
"Joe Biden","2020-10-09 00:00:00",41.6081
"Joe Biden","2020-10-10 00:00:00",45.8951
"Joe Biden","2020-10-11 00:00:00",51.2858
"Joe Biden","2020-10-12 00:00:00",53.9288
"Joe Biden","2020-10-13 00:00:00",46.1798
"Joe Biden","2020-10-14 00:00:00",34.6183
"Joe Biden","2020-10-15 00:00:00",40.6978
"Joe Biden","2020-10-16 00:00:00",60.909600000000005
"Joe Biden","2020-10-17 00:00:00",30.2479
"Joe Biden","2020-10-18 00:00:00",52.6238
"Joe Biden","2020-10-19 00:00:00",47.8581
"Joe Biden","2020-10-20 00:00:00",55.2298
"Joe Biden","2020-10-21 00:00:00",51.9849
"Joe Biden","2020-10-22 00:00:00",57.32149999999999
"Joe Biden","2020-10-23 00:00:00",49.717
"Joe Biden","2020-10-24 00:00:00",51.8376
"Joe Biden","2020-10-25 00:00:00",20.7977
"Joe Biden","2020-10-26 00:00:00",61.822399999999995
"Joe Biden","2020-10-27 00:00:00",46.5139
"Joe Biden","2020-10-28 00:00:00",57.0713
