"key","date","value"
"Donald Trump","2020-10-01 00:00:00",53.173
"Donald Trump","2020-10-02 00:00:00",47.655
"Donald Trump","2020-10-03 00:00:00",53.7242
"Donald Trump","2020-10-04 00:00:00",47.4609
"Donald Trump","2020-10-05 00:00:00",44.6244
"Donald Trump","2020-10-06 00:00:00",59.5718
"Donald Trump","2020-10-07 00:00:00",63.8276
"Donald Trump","2020-10-08 00:00:00",54.1537
"Donald Trump","2020-10-09 00:00:00",52.5208
"Donald Trump","2020-10-10 00:00:00",51.4376
"Donald Trump","2020-10-11 00:00:00",55.797
"Donald Trump","2020-10-12 00:00:00",54.5592
"Donald Trump","2020-10-13 00:00:00",55.3701
"Donald Trump","2020-10-14 00:00:00",52.4023
"Donald Trump","2020-10-15 00:00:00",64.2213
"Donald Trump","2020-10-16 00:00:00",50.2446
"Donald Trump","2020-10-17 00:00:00",53.270500000000006
"Donald Trump","2020-10-18 00:00:00",52.2635
"Donald Trump","2020-10-19 00:00:00",47.10060000000001
"Donald Trump","2020-10-20 00:00:00",42.1444
"Donald Trump","2020-10-21 00:00:00",34.8193
"Donald Trump","2020-10-22 00:00:00",34.0876
"Donald Trump","2020-10-23 00:00:00",47.8757
"Donald Trump","2020-10-24 00:00:00",42.2431
"Donald Trump","2020-10-25 00:00:00",53.1417
"Donald Trump","2020-10-26 00:00:00",59.2679
"Donald Trump","2020-10-27 00:00:00",64.5334
"Donald Trump","2020-10-28 00:00:00",46.1158
"Joe Biden","2020-10-01 00:00:00",46.827
"Joe Biden","2020-10-02 00:00:00",52.345
"Joe Biden","2020-10-03 00:00:00",46.2758
"Joe Biden","2020-10-04 00:00:00",52.5391
"Joe Biden","2020-10-05 00:00:00",55.3756
"Joe Biden","2020-10-06 00:00:00",40.4282
"Joe Biden","2020-10-07 00:00:00",36.1724
"Joe Biden","2020-10-08 00:00:00",45.8463
"Joe Biden","2020-10-09 00:00:00",47.4792
"Joe Biden","2020-10-10 00:00:00",48.5624
"Joe Biden","2020-10-11 00:00:00",44.203
"Joe Biden","2020-10-12 00:00:00",45.4408
"Joe Biden","2020-10-13 00:00:00",44.6299
"Joe Biden","2020-10-14 00:00:00",47.5977
"Joe Biden","2020-10-15 00:00:00",35.7787
"Joe Biden","2020-10-16 00:00:00",49.7554
"Joe Biden","2020-10-17 00:00:00",46.729499999999994
"Joe Biden","2020-10-18 00:00:00",47.7365
"Joe Biden","2020-10-19 00:00:00",52.89939999999999
"Joe Biden","2020-10-20 00:00:00",57.8556
"Joe Biden","2020-10-21 00:00:00",65.1807
"Joe Biden","2020-10-22 00:00:00",65.9124
"Joe Biden","2020-10-23 00:00:00",52.1243
"Joe Biden","2020-10-24 00:00:00",57.7569
"Joe Biden","2020-10-25 00:00:00",46.8583
"Joe Biden","2020-10-26 00:00:00",40.7321
"Joe Biden","2020-10-27 00:00:00",35.4666
"Joe Biden","2020-10-28 00:00:00",53.8842
