"key","date","value"
"Donald Trump","2020-10-01 00:00:00",46.7985
"Donald Trump","2020-10-02 00:00:00",50.0411
"Donald Trump","2020-10-03 00:00:00",48.6744
"Donald Trump","2020-10-05 00:00:00",52.292
"Donald Trump","2020-10-06 00:00:00",51.3462
"Donald Trump","2020-10-07 00:00:00",51.8505
"Donald Trump","2020-10-08 00:00:00",42.9082
"Donald Trump","2020-10-09 00:00:00",55.1639
"Donald Trump","2020-10-10 00:00:00",47.2343
"Donald Trump","2020-10-11 00:00:00",46.961
"Donald Trump","2020-10-12 00:00:00",53.6487
"Donald Trump","2020-10-13 00:00:00",46.8732
"Donald Trump","2020-10-14 00:00:00",35.8794
"Donald Trump","2020-10-15 00:00:00",37.1858
"Donald Trump","2020-10-16 00:00:00",49.5483
"Donald Trump","2020-10-17 00:00:00",54.6025
"Donald Trump","2020-10-18 00:00:00",52.0011
"Donald Trump","2020-10-19 00:00:00",50.8745
"Donald Trump","2020-10-20 00:00:00",50.2227
"Donald Trump","2020-10-21 00:00:00",45.0028
"Donald Trump","2020-10-22 00:00:00",47.0155
"Donald Trump","2020-10-23 00:00:00",37.8571
"Donald Trump","2020-10-24 00:00:00",46.4486
"Donald Trump","2020-10-25 00:00:00",26.9229
"Donald Trump","2020-10-26 00:00:00",46.7293
"Donald Trump","2020-10-27 00:00:00",43.5862
"Donald Trump","2020-10-28 00:00:00",48.4673
"Joe Biden","2020-10-01 00:00:00",53.2015
"Joe Biden","2020-10-02 00:00:00",49.9589
"Joe Biden","2020-10-03 00:00:00",51.3256
"Joe Biden","2020-10-05 00:00:00",47.708
"Joe Biden","2020-10-06 00:00:00",48.6538
"Joe Biden","2020-10-07 00:00:00",48.1495
"Joe Biden","2020-10-08 00:00:00",57.0918
"Joe Biden","2020-10-09 00:00:00",44.8361
"Joe Biden","2020-10-10 00:00:00",52.7657
"Joe Biden","2020-10-11 00:00:00",53.039
"Joe Biden","2020-10-12 00:00:00",46.3513
"Joe Biden","2020-10-13 00:00:00",53.1268
"Joe Biden","2020-10-14 00:00:00",64.1206
"Joe Biden","2020-10-15 00:00:00",62.8142
"Joe Biden","2020-10-16 00:00:00",50.4517
"Joe Biden","2020-10-17 00:00:00",45.3975
"Joe Biden","2020-10-18 00:00:00",47.9989
"Joe Biden","2020-10-19 00:00:00",49.1255
"Joe Biden","2020-10-20 00:00:00",49.7773
"Joe Biden","2020-10-21 00:00:00",54.9972
"Joe Biden","2020-10-22 00:00:00",52.9845
"Joe Biden","2020-10-23 00:00:00",62.142900000000004
"Joe Biden","2020-10-24 00:00:00",53.5514
"Joe Biden","2020-10-25 00:00:00",73.0771
"Joe Biden","2020-10-26 00:00:00",53.27069999999999
"Joe Biden","2020-10-27 00:00:00",56.4138
"Joe Biden","2020-10-28 00:00:00",51.5327
