"key","date","value"
"Donald Trump","2020-10-01 00:00:00",28.1896
"Donald Trump","2020-10-02 00:00:00",31.777
"Donald Trump","2020-10-03 00:00:00",48.5933
"Donald Trump","2020-10-04 00:00:00",51.4843
"Donald Trump","2020-10-05 00:00:00",50.0055
"Donald Trump","2020-10-06 00:00:00",58.688100000000006
"Donald Trump","2020-10-07 00:00:00",48.7325
"Donald Trump","2020-10-08 00:00:00",57.7585
"Donald Trump","2020-10-09 00:00:00",77.4557
"Donald Trump","2020-10-10 00:00:00",59.487199999999994
"Donald Trump","2020-10-11 00:00:00",74.7498
"Donald Trump","2020-10-12 00:00:00",46.9373
"Donald Trump","2020-10-13 00:00:00",63.0966
"Donald Trump","2020-10-14 00:00:00",61.6193
"Donald Trump","2020-10-15 00:00:00",72.117
"Donald Trump","2020-10-16 00:00:00",90.29219999999998
"Donald Trump","2020-10-17 00:00:00",91.8526
"Donald Trump","2020-10-18 00:00:00",35.2581
"Donald Trump","2020-10-19 00:00:00",42.3287
"Donald Trump","2020-10-20 00:00:00",51.8257
"Donald Trump","2020-10-21 00:00:00",39.6461
"Donald Trump","2020-10-22 00:00:00",43.3327
"Donald Trump","2020-10-23 00:00:00",41.5362
"Donald Trump","2020-10-24 00:00:00",52.5112
"Donald Trump","2020-10-25 00:00:00",59.5848
"Donald Trump","2020-10-26 00:00:00",52.2275
"Donald Trump","2020-10-27 00:00:00",43.3181
"Donald Trump","2020-10-28 00:00:00",41.9763
"Joe Biden","2020-10-01 00:00:00",71.8104
"Joe Biden","2020-10-02 00:00:00",68.223
"Joe Biden","2020-10-03 00:00:00",51.4067
"Joe Biden","2020-10-04 00:00:00",48.5157
"Joe Biden","2020-10-05 00:00:00",49.9945
"Joe Biden","2020-10-06 00:00:00",41.3119
"Joe Biden","2020-10-07 00:00:00",51.2675
"Joe Biden","2020-10-08 00:00:00",42.2415
"Joe Biden","2020-10-09 00:00:00",22.5443
"Joe Biden","2020-10-10 00:00:00",40.5128
"Joe Biden","2020-10-11 00:00:00",25.2502
"Joe Biden","2020-10-12 00:00:00",53.0627
"Joe Biden","2020-10-13 00:00:00",36.9034
"Joe Biden","2020-10-14 00:00:00",38.3807
"Joe Biden","2020-10-15 00:00:00",27.883
"Joe Biden","2020-10-16 00:00:00",9.70777
"Joe Biden","2020-10-17 00:00:00",8.14741
"Joe Biden","2020-10-18 00:00:00",64.7419
"Joe Biden","2020-10-19 00:00:00",57.6713
"Joe Biden","2020-10-20 00:00:00",48.1743
"Joe Biden","2020-10-21 00:00:00",60.3539
"Joe Biden","2020-10-22 00:00:00",56.6673
"Joe Biden","2020-10-23 00:00:00",58.4638
"Joe Biden","2020-10-24 00:00:00",47.4888
"Joe Biden","2020-10-25 00:00:00",40.4152
"Joe Biden","2020-10-26 00:00:00",47.7725
"Joe Biden","2020-10-27 00:00:00",56.6819
"Joe Biden","2020-10-28 00:00:00",58.0237
