"key","date","value"
"Donald Trump","2020-10-01 00:00:00",56.911
"Donald Trump","2020-10-02 00:00:00",34.4884
"Donald Trump","2020-10-03 00:00:00",56.2396
"Donald Trump","2020-10-04 00:00:00",47.6687
"Donald Trump","2020-10-05 00:00:00",42.7946
"Donald Trump","2020-10-06 00:00:00",40.2303
"Donald Trump","2020-10-07 00:00:00",53.4295
"Donald Trump","2020-10-08 00:00:00",44.5206
"Donald Trump","2020-10-09 00:00:00",42.5156
"Donald Trump","2020-10-10 00:00:00",48.9427
"Donald Trump","2020-10-11 00:00:00",45.9159
"Donald Trump","2020-10-12 00:00:00",40.4279
"Donald Trump","2020-10-13 00:00:00",49.6477
"Donald Trump","2020-10-14 00:00:00",49.7132
"Donald Trump","2020-10-15 00:00:00",45.6408
"Donald Trump","2020-10-16 00:00:00",41.265
"Donald Trump","2020-10-17 00:00:00",48.7385
"Donald Trump","2020-10-18 00:00:00",48.6247
"Donald Trump","2020-10-19 00:00:00",48.9011
"Donald Trump","2020-10-20 00:00:00",42.529
"Donald Trump","2020-10-21 00:00:00",52.5084
"Donald Trump","2020-10-22 00:00:00",51.261
"Donald Trump","2020-10-23 00:00:00",39.0819
"Donald Trump","2020-10-24 00:00:00",60.18639999999999
"Donald Trump","2020-10-25 00:00:00",49.8976
"Donald Trump","2020-10-26 00:00:00",42.1883
"Donald Trump","2020-10-27 00:00:00",42.241
"Donald Trump","2020-10-28 00:00:00",41.5362
"Joe Biden","2020-10-01 00:00:00",43.089
"Joe Biden","2020-10-02 00:00:00",65.5116
"Joe Biden","2020-10-03 00:00:00",43.7604
"Joe Biden","2020-10-04 00:00:00",52.3313
"Joe Biden","2020-10-05 00:00:00",57.2054
"Joe Biden","2020-10-06 00:00:00",59.7697
"Joe Biden","2020-10-07 00:00:00",46.5705
"Joe Biden","2020-10-08 00:00:00",55.47939999999999
"Joe Biden","2020-10-09 00:00:00",57.4844
"Joe Biden","2020-10-10 00:00:00",51.0573
"Joe Biden","2020-10-11 00:00:00",54.0841
"Joe Biden","2020-10-12 00:00:00",59.5721
"Joe Biden","2020-10-13 00:00:00",50.3523
"Joe Biden","2020-10-14 00:00:00",50.2868
"Joe Biden","2020-10-15 00:00:00",54.3592
"Joe Biden","2020-10-16 00:00:00",58.735
"Joe Biden","2020-10-17 00:00:00",51.2615
"Joe Biden","2020-10-18 00:00:00",51.3753
"Joe Biden","2020-10-19 00:00:00",51.0989
"Joe Biden","2020-10-20 00:00:00",57.471
"Joe Biden","2020-10-21 00:00:00",47.4916
"Joe Biden","2020-10-22 00:00:00",48.739
"Joe Biden","2020-10-23 00:00:00",60.9181
"Joe Biden","2020-10-24 00:00:00",39.8136
"Joe Biden","2020-10-25 00:00:00",50.1024
"Joe Biden","2020-10-26 00:00:00",57.8117
"Joe Biden","2020-10-27 00:00:00",57.759
"Joe Biden","2020-10-28 00:00:00",58.4638
