"key","date","value"
"Donald Trump","2020-10-01 00:00:00",49.531
"Donald Trump","2020-10-02 00:00:00",49.134
"Donald Trump","2020-10-03 00:00:00",55.5108
"Donald Trump","2020-10-04 00:00:00",42.5741
"Donald Trump","2020-10-05 00:00:00",50.3246
"Donald Trump","2020-10-06 00:00:00",34.307
"Donald Trump","2020-10-07 00:00:00",67.1902
"Donald Trump","2020-10-08 00:00:00",54.2241
"Donald Trump","2020-10-09 00:00:00",48.5544
"Donald Trump","2020-10-10 00:00:00",65.1091
"Donald Trump","2020-10-11 00:00:00",40.9234
"Donald Trump","2020-10-12 00:00:00",47.6689
"Donald Trump","2020-10-13 00:00:00",57.5768
"Donald Trump","2020-10-14 00:00:00",52.7992
"Donald Trump","2020-10-15 00:00:00",33.4482
"Donald Trump","2020-10-16 00:00:00",37.3905
"Donald Trump","2020-10-17 00:00:00",49.7843
"Donald Trump","2020-10-18 00:00:00",49.079499999999996
"Donald Trump","2020-10-19 00:00:00",42.0451
"Donald Trump","2020-10-20 00:00:00",61.1683
"Donald Trump","2020-10-21 00:00:00",44.689
"Donald Trump","2020-10-22 00:00:00",46.0204
"Donald Trump","2020-10-23 00:00:00",41.5553
"Donald Trump","2020-10-24 00:00:00",67.1388
"Donald Trump","2020-10-25 00:00:00",53.9971
"Donald Trump","2020-10-26 00:00:00",40.4151
"Donald Trump","2020-10-27 00:00:00",43.658100000000005
"Donald Trump","2020-10-28 00:00:00",48.4806
"Joe Biden","2020-10-01 00:00:00",50.469
"Joe Biden","2020-10-02 00:00:00",50.866
"Joe Biden","2020-10-03 00:00:00",44.4892
"Joe Biden","2020-10-04 00:00:00",57.42589999999999
"Joe Biden","2020-10-05 00:00:00",49.6754
"Joe Biden","2020-10-06 00:00:00",65.693
"Joe Biden","2020-10-07 00:00:00",32.8098
"Joe Biden","2020-10-08 00:00:00",45.7759
"Joe Biden","2020-10-09 00:00:00",51.4456
"Joe Biden","2020-10-10 00:00:00",34.8909
"Joe Biden","2020-10-11 00:00:00",59.0766
"Joe Biden","2020-10-12 00:00:00",52.3311
"Joe Biden","2020-10-13 00:00:00",42.4232
"Joe Biden","2020-10-14 00:00:00",47.2008
"Joe Biden","2020-10-15 00:00:00",66.5518
"Joe Biden","2020-10-16 00:00:00",62.6095
"Joe Biden","2020-10-17 00:00:00",50.2157
"Joe Biden","2020-10-18 00:00:00",50.920500000000004
"Joe Biden","2020-10-19 00:00:00",57.95490000000001
"Joe Biden","2020-10-20 00:00:00",38.8317
"Joe Biden","2020-10-21 00:00:00",55.31100000000001
"Joe Biden","2020-10-22 00:00:00",53.9796
"Joe Biden","2020-10-23 00:00:00",58.4447
"Joe Biden","2020-10-24 00:00:00",32.8612
"Joe Biden","2020-10-25 00:00:00",46.0029
"Joe Biden","2020-10-26 00:00:00",59.5849
"Joe Biden","2020-10-27 00:00:00",56.341899999999995
"Joe Biden","2020-10-28 00:00:00",51.5194
