"key","date","value"
"Donald Trump","2020-10-01 00:00:00",47.3068
"Donald Trump","2020-10-02 00:00:00",50.4592
"Donald Trump","2020-10-03 00:00:00",48.1654
"Donald Trump","2020-10-04 00:00:00",44.6759
"Donald Trump","2020-10-05 00:00:00",50.3028
"Donald Trump","2020-10-06 00:00:00",56.61520000000001
"Donald Trump","2020-10-07 00:00:00",58.461499999999994
"Donald Trump","2020-10-08 00:00:00",55.51100000000001
"Donald Trump","2020-10-09 00:00:00",38.8129
"Donald Trump","2020-10-10 00:00:00",56.9951
"Donald Trump","2020-10-11 00:00:00",60.7079
"Donald Trump","2020-10-12 00:00:00",45.5131
"Donald Trump","2020-10-13 00:00:00",59.3142
"Donald Trump","2020-10-14 00:00:00",46.2786
"Donald Trump","2020-10-15 00:00:00",54.2279
"Donald Trump","2020-10-16 00:00:00",44.7999
"Donald Trump","2020-10-17 00:00:00",54.2747
"Donald Trump","2020-10-18 00:00:00",42.3155
"Donald Trump","2020-10-19 00:00:00",49.2516
"Donald Trump","2020-10-20 00:00:00",44.9688
"Donald Trump","2020-10-21 00:00:00",38.5791
"Donald Trump","2020-10-22 00:00:00",34.5017
"Donald Trump","2020-10-23 00:00:00",26.542
"Donald Trump","2020-10-24 00:00:00",44.8521
"Donald Trump","2020-10-25 00:00:00",56.3396
"Donald Trump","2020-10-26 00:00:00",46.781
"Donald Trump","2020-10-27 00:00:00",48.6406
"Donald Trump","2020-10-28 00:00:00",41.2042
"Joe Biden","2020-10-01 00:00:00",52.6932
"Joe Biden","2020-10-02 00:00:00",49.5408
"Joe Biden","2020-10-03 00:00:00",51.8346
"Joe Biden","2020-10-04 00:00:00",55.3241
"Joe Biden","2020-10-05 00:00:00",49.6972
"Joe Biden","2020-10-06 00:00:00",43.3848
"Joe Biden","2020-10-07 00:00:00",41.5385
"Joe Biden","2020-10-08 00:00:00",44.489
"Joe Biden","2020-10-09 00:00:00",61.1871
"Joe Biden","2020-10-10 00:00:00",43.0049
"Joe Biden","2020-10-11 00:00:00",39.2921
"Joe Biden","2020-10-12 00:00:00",54.4869
"Joe Biden","2020-10-13 00:00:00",40.6858
"Joe Biden","2020-10-14 00:00:00",53.7214
"Joe Biden","2020-10-15 00:00:00",45.7721
"Joe Biden","2020-10-16 00:00:00",55.2001
"Joe Biden","2020-10-17 00:00:00",45.7253
"Joe Biden","2020-10-18 00:00:00",57.6845
"Joe Biden","2020-10-19 00:00:00",50.7484
"Joe Biden","2020-10-20 00:00:00",55.0312
"Joe Biden","2020-10-21 00:00:00",61.4209
"Joe Biden","2020-10-22 00:00:00",65.4983
"Joe Biden","2020-10-23 00:00:00",73.458
"Joe Biden","2020-10-24 00:00:00",55.1479
"Joe Biden","2020-10-25 00:00:00",43.6604
"Joe Biden","2020-10-26 00:00:00",53.219
"Joe Biden","2020-10-27 00:00:00",51.3594
"Joe Biden","2020-10-28 00:00:00",58.79580000000001
