"key","date","value"
"Donald Trump","2020-09-01 00:00:00",46.3129
"Donald Trump","2020-09-02 00:00:00",57.5387
"Donald Trump","2020-09-03 00:00:00",48.6678
"Donald Trump","2020-09-04 00:00:00",54.1633
"Donald Trump","2020-09-05 00:00:00",48.140800000000006
"Donald Trump","2020-09-06 00:00:00",62.0824
"Donald Trump","2020-09-07 00:00:00",66.236
"Donald Trump","2020-09-08 00:00:00",55.7138
"Donald Trump","2020-09-09 00:00:00",48.4005
"Donald Trump","2020-09-10 00:00:00",49.7487
"Donald Trump","2020-09-11 00:00:00",53.7348
"Donald Trump","2020-09-12 00:00:00",56.2857
"Donald Trump","2020-09-13 00:00:00",57.8911
"Donald Trump","2020-09-14 00:00:00",49.8108
"Donald Trump","2020-09-15 00:00:00",36.7417
"Donald Trump","2020-09-16 00:00:00",48.245
"Donald Trump","2020-09-19 00:00:00",47.5103
"Donald Trump","2020-09-21 00:00:00",63.2484
"Donald Trump","2020-09-22 00:00:00",48.819
"Donald Trump","2020-09-23 00:00:00",51.0534
"Donald Trump","2020-09-28 00:00:00",54.2751
"Donald Trump","2020-09-29 00:00:00",50.3621
"Joe Biden","2020-09-01 00:00:00",53.6871
"Joe Biden","2020-09-02 00:00:00",42.4613
"Joe Biden","2020-09-03 00:00:00",51.3322
"Joe Biden","2020-09-04 00:00:00",45.8367
"Joe Biden","2020-09-05 00:00:00",51.859199999999994
"Joe Biden","2020-09-06 00:00:00",37.9176
"Joe Biden","2020-09-07 00:00:00",33.764
"Joe Biden","2020-09-08 00:00:00",44.2862
"Joe Biden","2020-09-09 00:00:00",51.5995
"Joe Biden","2020-09-10 00:00:00",50.2513
"Joe Biden","2020-09-11 00:00:00",46.2652
"Joe Biden","2020-09-12 00:00:00",43.7143
"Joe Biden","2020-09-13 00:00:00",42.1089
"Joe Biden","2020-09-14 00:00:00",50.1892
"Joe Biden","2020-09-15 00:00:00",63.2583
"Joe Biden","2020-09-16 00:00:00",51.755
"Joe Biden","2020-09-19 00:00:00",52.48969999999999
"Joe Biden","2020-09-21 00:00:00",36.7516
"Joe Biden","2020-09-22 00:00:00",51.181
"Joe Biden","2020-09-23 00:00:00",48.9466
"Joe Biden","2020-09-28 00:00:00",45.7249
"Joe Biden","2020-09-29 00:00:00",49.6379
