"key","date","value"
"Donald Trump","2020-09-01 00:00:00",57.8056
"Donald Trump","2020-09-02 00:00:00",51.7615
"Donald Trump","2020-09-03 00:00:00",55.8616
"Donald Trump","2020-09-04 00:00:00",64.879
"Donald Trump","2020-09-05 00:00:00",37.1232
"Donald Trump","2020-09-06 00:00:00",51.5574
"Donald Trump","2020-09-07 00:00:00",52.1281
"Donald Trump","2020-09-08 00:00:00",51.2642
"Donald Trump","2020-09-09 00:00:00",53.9545
"Donald Trump","2020-09-10 00:00:00",52.7572
"Donald Trump","2020-09-11 00:00:00",52.3778
"Donald Trump","2020-09-12 00:00:00",45.4443
"Donald Trump","2020-09-13 00:00:00",50.6703
"Donald Trump","2020-09-14 00:00:00",53.9324
"Donald Trump","2020-09-15 00:00:00",36.3185
"Donald Trump","2020-09-16 00:00:00",33.0797
"Donald Trump","2020-09-19 00:00:00",49.2992
"Donald Trump","2020-09-21 00:00:00",53.7641
"Donald Trump","2020-09-22 00:00:00",46.9918
"Donald Trump","2020-09-23 00:00:00",46.0032
"Donald Trump","2020-09-28 00:00:00",50.15710000000001
"Donald Trump","2020-09-29 00:00:00",47.8797
"Joe Biden","2020-09-01 00:00:00",42.1944
"Joe Biden","2020-09-02 00:00:00",48.2385
"Joe Biden","2020-09-03 00:00:00",44.1384
"Joe Biden","2020-09-04 00:00:00",35.121
"Joe Biden","2020-09-05 00:00:00",62.8768
"Joe Biden","2020-09-06 00:00:00",48.4426
"Joe Biden","2020-09-07 00:00:00",47.8719
"Joe Biden","2020-09-08 00:00:00",48.7358
"Joe Biden","2020-09-09 00:00:00",46.0455
"Joe Biden","2020-09-10 00:00:00",47.2428
"Joe Biden","2020-09-11 00:00:00",47.6222
"Joe Biden","2020-09-12 00:00:00",54.5557
"Joe Biden","2020-09-13 00:00:00",49.3297
"Joe Biden","2020-09-14 00:00:00",46.0676
"Joe Biden","2020-09-15 00:00:00",63.6815
"Joe Biden","2020-09-16 00:00:00",66.9203
"Joe Biden","2020-09-19 00:00:00",50.7008
"Joe Biden","2020-09-21 00:00:00",46.2359
"Joe Biden","2020-09-22 00:00:00",53.0082
"Joe Biden","2020-09-23 00:00:00",53.9968
"Joe Biden","2020-09-28 00:00:00",49.84289999999999
"Joe Biden","2020-09-29 00:00:00",52.1203
