"key","date","value"
"Donald Trump","2020-09-01 00:00:00",54.8311
"Donald Trump","2020-09-02 00:00:00",49.2305
"Donald Trump","2020-09-03 00:00:00",60.5979
"Donald Trump","2020-09-04 00:00:00",51.9729
"Donald Trump","2020-09-05 00:00:00",54.9556
"Donald Trump","2020-09-06 00:00:00",52.689
"Donald Trump","2020-09-07 00:00:00",54.8013
"Donald Trump","2020-09-08 00:00:00",58.7974
"Donald Trump","2020-09-09 00:00:00",55.7345
"Donald Trump","2020-09-10 00:00:00",54.4341
"Donald Trump","2020-09-11 00:00:00",46.9673
"Donald Trump","2020-09-12 00:00:00",48.4906
"Donald Trump","2020-09-13 00:00:00",46.1826
"Donald Trump","2020-09-14 00:00:00",50.6204
"Donald Trump","2020-09-15 00:00:00",48.6599
"Donald Trump","2020-09-16 00:00:00",46.8639
"Donald Trump","2020-09-19 00:00:00",45.454
"Donald Trump","2020-09-21 00:00:00",53.5063
"Donald Trump","2020-09-22 00:00:00",48.238099999999996
"Donald Trump","2020-09-23 00:00:00",52.1964
"Donald Trump","2020-09-28 00:00:00",55.22
"Donald Trump","2020-09-29 00:00:00",48.4699
"Joe Biden","2020-09-01 00:00:00",45.1689
"Joe Biden","2020-09-02 00:00:00",50.7695
"Joe Biden","2020-09-03 00:00:00",39.4021
"Joe Biden","2020-09-04 00:00:00",48.0271
"Joe Biden","2020-09-05 00:00:00",45.0444
"Joe Biden","2020-09-06 00:00:00",47.311
"Joe Biden","2020-09-07 00:00:00",45.1987
"Joe Biden","2020-09-08 00:00:00",41.2026
"Joe Biden","2020-09-09 00:00:00",44.2655
"Joe Biden","2020-09-10 00:00:00",45.5659
"Joe Biden","2020-09-11 00:00:00",53.0327
"Joe Biden","2020-09-12 00:00:00",51.5094
"Joe Biden","2020-09-13 00:00:00",53.8174
"Joe Biden","2020-09-14 00:00:00",49.3796
"Joe Biden","2020-09-15 00:00:00",51.3401
"Joe Biden","2020-09-16 00:00:00",53.1361
"Joe Biden","2020-09-19 00:00:00",54.546
"Joe Biden","2020-09-21 00:00:00",46.4937
"Joe Biden","2020-09-22 00:00:00",51.761900000000004
"Joe Biden","2020-09-23 00:00:00",47.8036
"Joe Biden","2020-09-28 00:00:00",44.78
"Joe Biden","2020-09-29 00:00:00",51.5301
