"key","date","value"
"Donald Trump","2020-09-01 00:00:00",60.0954
"Donald Trump","2020-09-02 00:00:00",51.2499
"Donald Trump","2020-09-03 00:00:00",54.7476
"Donald Trump","2020-09-04 00:00:00",59.7198
"Donald Trump","2020-09-05 00:00:00",52.7028
"Donald Trump","2020-09-06 00:00:00",47.192
"Donald Trump","2020-09-07 00:00:00",64.1058
"Donald Trump","2020-09-08 00:00:00",51.2548
"Donald Trump","2020-09-09 00:00:00",53.4554
"Donald Trump","2020-09-10 00:00:00",52.5589
"Donald Trump","2020-09-11 00:00:00",49.2098
"Donald Trump","2020-09-12 00:00:00",49.7836
"Donald Trump","2020-09-13 00:00:00",53.9896
"Donald Trump","2020-09-14 00:00:00",51.661899999999996
"Donald Trump","2020-09-15 00:00:00",40.7478
"Donald Trump","2020-09-16 00:00:00",47.2083
"Donald Trump","2020-09-19 00:00:00",50.2564
"Donald Trump","2020-09-21 00:00:00",48.1066
"Donald Trump","2020-09-22 00:00:00",55.0902
"Donald Trump","2020-09-23 00:00:00",56.9271
"Donald Trump","2020-09-28 00:00:00",46.7403
"Donald Trump","2020-09-29 00:00:00",48.2427
"Joe Biden","2020-09-01 00:00:00",39.9046
"Joe Biden","2020-09-02 00:00:00",48.7501
"Joe Biden","2020-09-03 00:00:00",45.2524
"Joe Biden","2020-09-04 00:00:00",40.2802
"Joe Biden","2020-09-05 00:00:00",47.2972
"Joe Biden","2020-09-06 00:00:00",52.808
"Joe Biden","2020-09-07 00:00:00",35.8942
"Joe Biden","2020-09-08 00:00:00",48.7452
"Joe Biden","2020-09-09 00:00:00",46.5446
"Joe Biden","2020-09-10 00:00:00",47.4411
"Joe Biden","2020-09-11 00:00:00",50.7902
"Joe Biden","2020-09-12 00:00:00",50.2164
"Joe Biden","2020-09-13 00:00:00",46.0104
"Joe Biden","2020-09-14 00:00:00",48.338100000000004
"Joe Biden","2020-09-15 00:00:00",59.2522
"Joe Biden","2020-09-16 00:00:00",52.7917
"Joe Biden","2020-09-19 00:00:00",49.7436
"Joe Biden","2020-09-21 00:00:00",51.8934
"Joe Biden","2020-09-22 00:00:00",44.9098
"Joe Biden","2020-09-23 00:00:00",43.0729
"Joe Biden","2020-09-28 00:00:00",53.2597
"Joe Biden","2020-09-29 00:00:00",51.7573
