"key","date","value"
"Donald Trump","2020-09-01 00:00:00",56.5406
"Donald Trump","2020-09-02 00:00:00",56.5425
"Donald Trump","2020-09-03 00:00:00",43.8437
"Donald Trump","2020-09-04 00:00:00",70.5438
"Donald Trump","2020-09-05 00:00:00",52.6423
"Donald Trump","2020-09-06 00:00:00",51.0213
"Donald Trump","2020-09-07 00:00:00",54.6449
"Donald Trump","2020-09-08 00:00:00",51.5175
"Donald Trump","2020-09-09 00:00:00",54.3774
"Donald Trump","2020-09-10 00:00:00",42.6344
"Donald Trump","2020-09-11 00:00:00",49.614
"Donald Trump","2020-09-12 00:00:00",50.6464
"Donald Trump","2020-09-13 00:00:00",61.0073
"Donald Trump","2020-09-14 00:00:00",62.6256
"Donald Trump","2020-09-15 00:00:00",35.0028
"Donald Trump","2020-09-16 00:00:00",34.0517
"Donald Trump","2020-09-19 00:00:00",51.456900000000005
"Donald Trump","2020-09-21 00:00:00",54.372
"Donald Trump","2020-09-22 00:00:00",44.9536
"Donald Trump","2020-09-23 00:00:00",48.974
"Donald Trump","2020-09-28 00:00:00",50.5049
"Donald Trump","2020-09-29 00:00:00",57.0407
"Joe Biden","2020-09-01 00:00:00",43.4594
"Joe Biden","2020-09-02 00:00:00",43.4575
"Joe Biden","2020-09-03 00:00:00",56.1563
"Joe Biden","2020-09-04 00:00:00",29.4562
"Joe Biden","2020-09-05 00:00:00",47.3577
"Joe Biden","2020-09-06 00:00:00",48.9787
"Joe Biden","2020-09-07 00:00:00",45.3551
"Joe Biden","2020-09-08 00:00:00",48.4825
"Joe Biden","2020-09-09 00:00:00",45.6226
"Joe Biden","2020-09-10 00:00:00",57.3656
"Joe Biden","2020-09-11 00:00:00",50.386
"Joe Biden","2020-09-12 00:00:00",49.3536
"Joe Biden","2020-09-13 00:00:00",38.9927
"Joe Biden","2020-09-14 00:00:00",37.3744
"Joe Biden","2020-09-15 00:00:00",64.9972
"Joe Biden","2020-09-16 00:00:00",65.9483
"Joe Biden","2020-09-19 00:00:00",48.5431
"Joe Biden","2020-09-21 00:00:00",45.628
"Joe Biden","2020-09-22 00:00:00",55.0464
"Joe Biden","2020-09-23 00:00:00",51.026
"Joe Biden","2020-09-28 00:00:00",49.4951
"Joe Biden","2020-09-29 00:00:00",42.9593
