"key","date","value"
"Donald Trump","2020-09-01 00:00:00",43.558
"Donald Trump","2020-09-02 00:00:00",29.9062
"Donald Trump","2020-09-03 00:00:00",47.819300000000005
"Donald Trump","2020-09-04 00:00:00",53.0504
"Donald Trump","2020-09-05 00:00:00",59.0097
"Donald Trump","2020-09-06 00:00:00",68.0066
"Donald Trump","2020-09-07 00:00:00",46.5639
"Donald Trump","2020-09-08 00:00:00",50.0793
"Donald Trump","2020-09-09 00:00:00",45.9527
"Donald Trump","2020-09-10 00:00:00",50.1324
"Donald Trump","2020-09-11 00:00:00",46.4314
"Donald Trump","2020-09-12 00:00:00",55.9037
"Donald Trump","2020-09-13 00:00:00",61.481
"Donald Trump","2020-09-14 00:00:00",51.7975
"Donald Trump","2020-09-15 00:00:00",30.5363
"Donald Trump","2020-09-16 00:00:00",31.6272
"Donald Trump","2020-09-19 00:00:00",47.6553
"Donald Trump","2020-09-21 00:00:00",51.1252
"Donald Trump","2020-09-22 00:00:00",74.5289
"Donald Trump","2020-09-23 00:00:00",54.7032
"Donald Trump","2020-09-28 00:00:00",48.3078
"Donald Trump","2020-09-29 00:00:00",51.169
"Joe Biden","2020-09-01 00:00:00",56.442
"Joe Biden","2020-09-02 00:00:00",70.0938
"Joe Biden","2020-09-03 00:00:00",52.180699999999995
"Joe Biden","2020-09-04 00:00:00",46.9496
"Joe Biden","2020-09-05 00:00:00",40.9903
"Joe Biden","2020-09-06 00:00:00",31.9934
"Joe Biden","2020-09-07 00:00:00",53.4361
"Joe Biden","2020-09-08 00:00:00",49.9207
"Joe Biden","2020-09-09 00:00:00",54.0473
"Joe Biden","2020-09-10 00:00:00",49.8676
"Joe Biden","2020-09-11 00:00:00",53.5686
"Joe Biden","2020-09-12 00:00:00",44.0963
"Joe Biden","2020-09-13 00:00:00",38.519
"Joe Biden","2020-09-14 00:00:00",48.2025
"Joe Biden","2020-09-15 00:00:00",69.4637
"Joe Biden","2020-09-16 00:00:00",68.3728
"Joe Biden","2020-09-19 00:00:00",52.3447
"Joe Biden","2020-09-21 00:00:00",48.8748
"Joe Biden","2020-09-22 00:00:00",25.471100000000003
"Joe Biden","2020-09-23 00:00:00",45.2968
"Joe Biden","2020-09-28 00:00:00",51.6922
"Joe Biden","2020-09-29 00:00:00",48.831
