"key","date","value"
"Donald Trump","2020-09-01 00:00:00",66.9948
"Donald Trump","2020-09-02 00:00:00",48.4919
"Donald Trump","2020-09-03 00:00:00",54.82449999999999
"Donald Trump","2020-09-04 00:00:00",35.3706
"Donald Trump","2020-09-05 00:00:00",48.9699
"Donald Trump","2020-09-06 00:00:00",53.2926
"Donald Trump","2020-09-07 00:00:00",35.1313
"Donald Trump","2020-09-08 00:00:00",51.3744
"Donald Trump","2020-09-09 00:00:00",51.1654
"Donald Trump","2020-09-10 00:00:00",32.9484
"Donald Trump","2020-09-11 00:00:00",58.4169
"Donald Trump","2020-09-12 00:00:00",56.395
"Donald Trump","2020-09-13 00:00:00",44.193
"Donald Trump","2020-09-14 00:00:00",34.7353
"Donald Trump","2020-09-15 00:00:00",2.17745
"Donald Trump","2020-09-16 00:00:00",20.0452
"Donald Trump","2020-09-19 00:00:00",45.2979
"Donald Trump","2020-09-21 00:00:00",47.1434
"Donald Trump","2020-09-22 00:00:00",48.4344
"Donald Trump","2020-09-23 00:00:00",51.0019
"Donald Trump","2020-09-28 00:00:00",54.2525
"Donald Trump","2020-09-29 00:00:00",52.0668
"Joe Biden","2020-09-01 00:00:00",33.0052
"Joe Biden","2020-09-02 00:00:00",51.5081
"Joe Biden","2020-09-03 00:00:00",45.17550000000001
"Joe Biden","2020-09-04 00:00:00",64.6294
"Joe Biden","2020-09-05 00:00:00",51.0301
"Joe Biden","2020-09-06 00:00:00",46.7074
"Joe Biden","2020-09-07 00:00:00",64.8687
"Joe Biden","2020-09-08 00:00:00",48.6256
"Joe Biden","2020-09-09 00:00:00",48.8346
"Joe Biden","2020-09-10 00:00:00",67.0516
"Joe Biden","2020-09-11 00:00:00",41.5831
"Joe Biden","2020-09-12 00:00:00",43.605
"Joe Biden","2020-09-13 00:00:00",55.807
"Joe Biden","2020-09-14 00:00:00",65.2647
"Joe Biden","2020-09-15 00:00:00",97.8226
"Joe Biden","2020-09-16 00:00:00",79.9548
"Joe Biden","2020-09-19 00:00:00",54.7021
"Joe Biden","2020-09-21 00:00:00",52.8566
"Joe Biden","2020-09-22 00:00:00",51.5656
"Joe Biden","2020-09-23 00:00:00",48.9981
"Joe Biden","2020-09-28 00:00:00",45.7475
"Joe Biden","2020-09-29 00:00:00",47.9332
