"key","date","value"
"Donald Trump","2020-09-01 00:00:00",52.7925
"Donald Trump","2020-09-02 00:00:00",39.2995
"Donald Trump","2020-09-03 00:00:00",48.0607
"Donald Trump","2020-09-04 00:00:00",45.9228
"Donald Trump","2020-09-05 00:00:00",55.1621
"Donald Trump","2020-09-06 00:00:00",62.5011
"Donald Trump","2020-09-07 00:00:00",41.5169
"Donald Trump","2020-09-08 00:00:00",41.0289
"Donald Trump","2020-09-09 00:00:00",46.6487
"Donald Trump","2020-09-10 00:00:00",42.4218
"Donald Trump","2020-09-11 00:00:00",49.7271
"Donald Trump","2020-09-12 00:00:00",56.7795
"Donald Trump","2020-09-13 00:00:00",55.1263
"Donald Trump","2020-09-14 00:00:00",52.302
"Donald Trump","2020-09-15 00:00:00",23.782
"Donald Trump","2020-09-16 00:00:00",40.6522
"Donald Trump","2020-09-19 00:00:00",43.6143
"Donald Trump","2020-09-21 00:00:00",51.3032
"Donald Trump","2020-09-22 00:00:00",44.68900000000001
"Donald Trump","2020-09-23 00:00:00",50.0699
"Donald Trump","2020-09-28 00:00:00",45.1603
"Donald Trump","2020-09-29 00:00:00",50.9986
"Joe Biden","2020-09-01 00:00:00",47.2075
"Joe Biden","2020-09-02 00:00:00",60.7005
"Joe Biden","2020-09-03 00:00:00",51.9393
"Joe Biden","2020-09-04 00:00:00",54.0772
"Joe Biden","2020-09-05 00:00:00",44.8379
"Joe Biden","2020-09-06 00:00:00",37.4989
"Joe Biden","2020-09-07 00:00:00",58.4831
"Joe Biden","2020-09-08 00:00:00",58.9711
"Joe Biden","2020-09-09 00:00:00",53.3513
"Joe Biden","2020-09-10 00:00:00",57.578199999999995
"Joe Biden","2020-09-11 00:00:00",50.2729
"Joe Biden","2020-09-12 00:00:00",43.2205
"Joe Biden","2020-09-13 00:00:00",44.8737
"Joe Biden","2020-09-14 00:00:00",47.698
"Joe Biden","2020-09-15 00:00:00",76.218
"Joe Biden","2020-09-16 00:00:00",59.3478
"Joe Biden","2020-09-19 00:00:00",56.3857
"Joe Biden","2020-09-21 00:00:00",48.6968
"Joe Biden","2020-09-22 00:00:00",55.31099999999999
"Joe Biden","2020-09-23 00:00:00",49.9301
"Joe Biden","2020-09-28 00:00:00",54.8397
"Joe Biden","2020-09-29 00:00:00",49.0014
