"key","date","value"
"Donald Trump","2020-09-01 00:00:00",60.0891
"Donald Trump","2020-09-02 00:00:00",28.7669
"Donald Trump","2020-09-03 00:00:00",60.0756
"Donald Trump","2020-09-04 00:00:00",40.8319
"Donald Trump","2020-09-05 00:00:00",67.7579
"Donald Trump","2020-09-06 00:00:00",51.661
"Donald Trump","2020-09-07 00:00:00",60.1664
"Donald Trump","2020-09-08 00:00:00",57.2863
"Donald Trump","2020-09-09 00:00:00",51.2957
"Donald Trump","2020-09-10 00:00:00",51.0099
"Donald Trump","2020-09-11 00:00:00",52.282599999999995
"Donald Trump","2020-09-12 00:00:00",52.8659
"Donald Trump","2020-09-13 00:00:00",53.9373
"Donald Trump","2020-09-14 00:00:00",53.5402
"Donald Trump","2020-09-15 00:00:00",29.3182
"Donald Trump","2020-09-16 00:00:00",46.0047
"Donald Trump","2020-09-19 00:00:00",40.7007
"Donald Trump","2020-09-21 00:00:00",48.3914
"Donald Trump","2020-09-22 00:00:00",48.7949
"Donald Trump","2020-09-23 00:00:00",46.9766
"Donald Trump","2020-09-28 00:00:00",52.6564
"Donald Trump","2020-09-29 00:00:00",49.1255
"Joe Biden","2020-09-01 00:00:00",39.9109
"Joe Biden","2020-09-02 00:00:00",71.2331
"Joe Biden","2020-09-03 00:00:00",39.9244
"Joe Biden","2020-09-04 00:00:00",59.1681
"Joe Biden","2020-09-05 00:00:00",32.2421
"Joe Biden","2020-09-06 00:00:00",48.339
"Joe Biden","2020-09-07 00:00:00",39.8336
"Joe Biden","2020-09-08 00:00:00",42.7137
"Joe Biden","2020-09-09 00:00:00",48.7043
"Joe Biden","2020-09-10 00:00:00",48.9901
"Joe Biden","2020-09-11 00:00:00",47.717400000000005
"Joe Biden","2020-09-12 00:00:00",47.1341
"Joe Biden","2020-09-13 00:00:00",46.0627
"Joe Biden","2020-09-14 00:00:00",46.4598
"Joe Biden","2020-09-15 00:00:00",70.6818
"Joe Biden","2020-09-16 00:00:00",53.9953
"Joe Biden","2020-09-19 00:00:00",59.2993
"Joe Biden","2020-09-21 00:00:00",51.6086
"Joe Biden","2020-09-22 00:00:00",51.2051
"Joe Biden","2020-09-23 00:00:00",53.0234
"Joe Biden","2020-09-28 00:00:00",47.3436
"Joe Biden","2020-09-29 00:00:00",50.8745
