"key","date","value"
"Donald Trump","2020-09-01 00:00:00",41.4555
"Donald Trump","2020-09-02 00:00:00",75.9952
"Donald Trump","2020-09-03 00:00:00",76.1918
"Donald Trump","2020-09-04 00:00:00",45.4002
"Donald Trump","2020-09-05 00:00:00",52.829
"Donald Trump","2020-09-06 00:00:00",66.7896
"Donald Trump","2020-09-07 00:00:00",27.0377
"Donald Trump","2020-09-08 00:00:00",54.5249
"Donald Trump","2020-09-09 00:00:00",46.0457
"Donald Trump","2020-09-10 00:00:00",46.3801
"Donald Trump","2020-09-11 00:00:00",49.8429
"Donald Trump","2020-09-12 00:00:00",41.0964
"Donald Trump","2020-09-13 00:00:00",53.5249
"Donald Trump","2020-09-14 00:00:00",51.2723
"Donald Trump","2020-09-15 00:00:00",17.4896
"Donald Trump","2020-09-16 00:00:00",31.6315
"Donald Trump","2020-09-19 00:00:00",42.9085
"Donald Trump","2020-09-21 00:00:00",50.982
"Donald Trump","2020-09-22 00:00:00",44.6803
"Donald Trump","2020-09-23 00:00:00",45.4975
"Donald Trump","2020-09-28 00:00:00",46.8427
"Donald Trump","2020-09-29 00:00:00",49.5125
"Joe Biden","2020-09-01 00:00:00",58.5445
"Joe Biden","2020-09-02 00:00:00",24.0048
"Joe Biden","2020-09-03 00:00:00",23.8082
"Joe Biden","2020-09-04 00:00:00",54.5998
"Joe Biden","2020-09-05 00:00:00",47.171
"Joe Biden","2020-09-06 00:00:00",33.2104
"Joe Biden","2020-09-07 00:00:00",72.9623
"Joe Biden","2020-09-08 00:00:00",45.4751
"Joe Biden","2020-09-09 00:00:00",53.9543
"Joe Biden","2020-09-10 00:00:00",53.6199
"Joe Biden","2020-09-11 00:00:00",50.1571
"Joe Biden","2020-09-12 00:00:00",58.903600000000004
"Joe Biden","2020-09-13 00:00:00",46.4751
"Joe Biden","2020-09-14 00:00:00",48.7277
"Joe Biden","2020-09-15 00:00:00",82.5104
"Joe Biden","2020-09-16 00:00:00",68.3685
"Joe Biden","2020-09-19 00:00:00",57.0915
"Joe Biden","2020-09-21 00:00:00",49.018
"Joe Biden","2020-09-22 00:00:00",55.3197
"Joe Biden","2020-09-23 00:00:00",54.5025
"Joe Biden","2020-09-28 00:00:00",53.1573
"Joe Biden","2020-09-29 00:00:00",50.4875
