"key","date","value"
"Donald Trump","2020-09-01 00:00:00",37.6476
"Donald Trump","2020-09-02 00:00:00",30.8668
"Donald Trump","2020-09-03 00:00:00",61.3853
"Donald Trump","2020-09-04 00:00:00",31.8705
"Donald Trump","2020-09-05 00:00:00",50.42119999999999
"Donald Trump","2020-09-06 00:00:00",66.6485
"Donald Trump","2020-09-07 00:00:00",50.6017
"Donald Trump","2020-09-08 00:00:00",53.4595
"Donald Trump","2020-09-09 00:00:00",54.6305
"Donald Trump","2020-09-10 00:00:00",38.4864
"Donald Trump","2020-09-11 00:00:00",59.0636
"Donald Trump","2020-09-12 00:00:00",42.8622
"Donald Trump","2020-09-13 00:00:00",57.4443
"Donald Trump","2020-09-14 00:00:00",35.5033
"Donald Trump","2020-09-15 00:00:00",26.2205
"Donald Trump","2020-09-16 00:00:00",31.539500000000004
"Donald Trump","2020-09-19 00:00:00",49.0006
"Donald Trump","2020-09-21 00:00:00",29.773999999999997
"Donald Trump","2020-09-22 00:00:00",64.4337
"Donald Trump","2020-09-23 00:00:00",43.6712
"Donald Trump","2020-09-28 00:00:00",47.622
"Donald Trump","2020-09-29 00:00:00",47.6301
"Joe Biden","2020-09-01 00:00:00",62.3524
"Joe Biden","2020-09-02 00:00:00",69.1332
"Joe Biden","2020-09-03 00:00:00",38.6147
"Joe Biden","2020-09-04 00:00:00",68.1295
"Joe Biden","2020-09-05 00:00:00",49.57880000000001
"Joe Biden","2020-09-06 00:00:00",33.3515
"Joe Biden","2020-09-07 00:00:00",49.3983
"Joe Biden","2020-09-08 00:00:00",46.5405
"Joe Biden","2020-09-09 00:00:00",45.3695
"Joe Biden","2020-09-10 00:00:00",61.5136
"Joe Biden","2020-09-11 00:00:00",40.9364
"Joe Biden","2020-09-12 00:00:00",57.1378
"Joe Biden","2020-09-13 00:00:00",42.5557
"Joe Biden","2020-09-14 00:00:00",64.4967
"Joe Biden","2020-09-15 00:00:00",73.7795
"Joe Biden","2020-09-16 00:00:00",68.4605
"Joe Biden","2020-09-19 00:00:00",50.9994
"Joe Biden","2020-09-21 00:00:00",70.2261
"Joe Biden","2020-09-22 00:00:00",35.5663
"Joe Biden","2020-09-23 00:00:00",56.3288
"Joe Biden","2020-09-28 00:00:00",52.378
"Joe Biden","2020-09-29 00:00:00",52.3699
