"key","date","value"
"Donald Trump","2020-09-01 00:00:00",52.0841
"Donald Trump","2020-09-02 00:00:00",62.1427
"Donald Trump","2020-09-03 00:00:00",49.4679
"Donald Trump","2020-09-04 00:00:00",51.9047
"Donald Trump","2020-09-05 00:00:00",53.76509999999999
"Donald Trump","2020-09-06 00:00:00",51.16
"Donald Trump","2020-09-07 00:00:00",53.3855
"Donald Trump","2020-09-08 00:00:00",53.7043
"Donald Trump","2020-09-09 00:00:00",53.2959
"Donald Trump","2020-09-10 00:00:00",38.713
"Donald Trump","2020-09-11 00:00:00",51.7396
"Donald Trump","2020-09-12 00:00:00",50.908
"Donald Trump","2020-09-13 00:00:00",51.9508
"Donald Trump","2020-09-14 00:00:00",48.0946
"Donald Trump","2020-09-15 00:00:00",44.583200000000005
"Donald Trump","2020-09-16 00:00:00",43.5771
"Donald Trump","2020-09-19 00:00:00",45.7583
"Donald Trump","2020-09-21 00:00:00",56.8673
"Donald Trump","2020-09-22 00:00:00",47.6757
"Donald Trump","2020-09-23 00:00:00",46.8745
"Donald Trump","2020-09-28 00:00:00",46.5201
"Donald Trump","2020-09-29 00:00:00",51.4927
"Joe Biden","2020-09-01 00:00:00",47.9159
"Joe Biden","2020-09-02 00:00:00",37.8573
"Joe Biden","2020-09-03 00:00:00",50.5321
"Joe Biden","2020-09-04 00:00:00",48.0953
"Joe Biden","2020-09-05 00:00:00",46.23490000000001
"Joe Biden","2020-09-06 00:00:00",48.84
"Joe Biden","2020-09-07 00:00:00",46.6145
"Joe Biden","2020-09-08 00:00:00",46.2957
"Joe Biden","2020-09-09 00:00:00",46.7041
"Joe Biden","2020-09-10 00:00:00",61.287
"Joe Biden","2020-09-11 00:00:00",48.2604
"Joe Biden","2020-09-12 00:00:00",49.092
"Joe Biden","2020-09-13 00:00:00",48.0492
"Joe Biden","2020-09-14 00:00:00",51.9054
"Joe Biden","2020-09-15 00:00:00",55.416799999999995
"Joe Biden","2020-09-16 00:00:00",56.4229
"Joe Biden","2020-09-19 00:00:00",54.2417
"Joe Biden","2020-09-21 00:00:00",43.1327
"Joe Biden","2020-09-22 00:00:00",52.3243
"Joe Biden","2020-09-23 00:00:00",53.1255
"Joe Biden","2020-09-28 00:00:00",53.4799
"Joe Biden","2020-09-29 00:00:00",48.5073
