"key","date","value"
"Donald Trump","2020-09-01 00:00:00",52.3868
"Donald Trump","2020-09-02 00:00:00",56.7756
"Donald Trump","2020-09-03 00:00:00",52.6621
"Donald Trump","2020-09-04 00:00:00",64.7368
"Donald Trump","2020-09-05 00:00:00",54.7326
"Donald Trump","2020-09-06 00:00:00",52.6265
"Donald Trump","2020-09-07 00:00:00",44.1631
"Donald Trump","2020-09-08 00:00:00",36.5422
"Donald Trump","2020-09-09 00:00:00",61.2248
"Donald Trump","2020-09-10 00:00:00",30.964800000000004
"Donald Trump","2020-09-11 00:00:00",50.9645
"Donald Trump","2020-09-12 00:00:00",53.3054
"Donald Trump","2020-09-13 00:00:00",54.902
"Donald Trump","2020-09-14 00:00:00",19.3753
"Donald Trump","2020-09-15 00:00:00",4.02503
"Donald Trump","2020-09-16 00:00:00",31.2139
"Donald Trump","2020-09-19 00:00:00",43.4739
"Donald Trump","2020-09-21 00:00:00",46.66219999999999
"Donald Trump","2020-09-22 00:00:00",54.6079
"Donald Trump","2020-09-23 00:00:00",51.5023
"Donald Trump","2020-09-28 00:00:00",49.7283
"Donald Trump","2020-09-29 00:00:00",49.6202
"Joe Biden","2020-09-01 00:00:00",47.6132
"Joe Biden","2020-09-02 00:00:00",43.2244
"Joe Biden","2020-09-03 00:00:00",47.3379
"Joe Biden","2020-09-04 00:00:00",35.2632
"Joe Biden","2020-09-05 00:00:00",45.2674
"Joe Biden","2020-09-06 00:00:00",47.3735
"Joe Biden","2020-09-07 00:00:00",55.8369
"Joe Biden","2020-09-08 00:00:00",63.45779999999999
"Joe Biden","2020-09-09 00:00:00",38.7752
"Joe Biden","2020-09-10 00:00:00",69.0352
"Joe Biden","2020-09-11 00:00:00",49.0355
"Joe Biden","2020-09-12 00:00:00",46.6946
"Joe Biden","2020-09-13 00:00:00",45.098
"Joe Biden","2020-09-14 00:00:00",80.6247
"Joe Biden","2020-09-15 00:00:00",95.975
"Joe Biden","2020-09-16 00:00:00",68.7861
"Joe Biden","2020-09-19 00:00:00",56.5261
"Joe Biden","2020-09-21 00:00:00",53.33780000000001
"Joe Biden","2020-09-22 00:00:00",45.3921
"Joe Biden","2020-09-23 00:00:00",48.4977
"Joe Biden","2020-09-28 00:00:00",50.2717
"Joe Biden","2020-09-29 00:00:00",50.3798
