"key","date","value"
"Donald Trump","2020-09-01 00:00:00",48.09170000000001
"Donald Trump","2020-09-02 00:00:00",35.0045
"Donald Trump","2020-09-03 00:00:00",41.7955
"Donald Trump","2020-09-04 00:00:00",47.2369
"Donald Trump","2020-09-05 00:00:00",46.07
"Donald Trump","2020-09-06 00:00:00",51.5926
"Donald Trump","2020-09-07 00:00:00",53.651
"Donald Trump","2020-09-08 00:00:00",51.6063
"Donald Trump","2020-09-09 00:00:00",46.1241
"Donald Trump","2020-09-10 00:00:00",47.7884
"Donald Trump","2020-09-11 00:00:00",50.8058
"Donald Trump","2020-09-12 00:00:00",51.0612
"Donald Trump","2020-09-13 00:00:00",62.9206
"Donald Trump","2020-09-14 00:00:00",51.0034
"Donald Trump","2020-09-15 00:00:00",23.3271
"Donald Trump","2020-09-16 00:00:00",54.7644
"Donald Trump","2020-09-19 00:00:00",50.3508
"Donald Trump","2020-09-21 00:00:00",47.8517
"Donald Trump","2020-09-22 00:00:00",33.735
"Donald Trump","2020-09-23 00:00:00",51.7223
"Donald Trump","2020-09-28 00:00:00",46.9434
"Donald Trump","2020-09-29 00:00:00",54.1554
"Joe Biden","2020-09-01 00:00:00",51.90829999999999
"Joe Biden","2020-09-02 00:00:00",64.9955
"Joe Biden","2020-09-03 00:00:00",58.2045
"Joe Biden","2020-09-04 00:00:00",52.7631
"Joe Biden","2020-09-05 00:00:00",53.93
"Joe Biden","2020-09-06 00:00:00",48.4074
"Joe Biden","2020-09-07 00:00:00",46.349
"Joe Biden","2020-09-08 00:00:00",48.3937
"Joe Biden","2020-09-09 00:00:00",53.8759
"Joe Biden","2020-09-10 00:00:00",52.2116
"Joe Biden","2020-09-11 00:00:00",49.1942
"Joe Biden","2020-09-12 00:00:00",48.9388
"Joe Biden","2020-09-13 00:00:00",37.0794
"Joe Biden","2020-09-14 00:00:00",48.9966
"Joe Biden","2020-09-15 00:00:00",76.6729
"Joe Biden","2020-09-16 00:00:00",45.2356
"Joe Biden","2020-09-19 00:00:00",49.6492
"Joe Biden","2020-09-21 00:00:00",52.1483
"Joe Biden","2020-09-22 00:00:00",66.2651
"Joe Biden","2020-09-23 00:00:00",48.2777
"Joe Biden","2020-09-28 00:00:00",53.0566
"Joe Biden","2020-09-29 00:00:00",45.8446
